id,assembly_line_type
6597,assembly_line_type_8
8011,assembly_line_type_8
2597,assembly_line_type_8
5022,assembly_line_type_8
6852,assembly_line_type_8
5611,assembly_line_type_8
14838,assembly_line_type_8
2588,assembly_line_type_8
4848,assembly_line_type_8
6914,assembly_line_type_8
5337,assembly_line_type_8
10460,assembly_line_type_8
15494,assembly_line_type_8
10289,assembly_line_type_8
8587,assembly_line_type_8
12943,assembly_line_type_8
590,assembly_line_type_8
16416,assembly_line_type_8
3399,assembly_line_type_8
1505,assembly_line_type_8
9446,assembly_line_type_8
12482,assembly_line_type_8
16538,assembly_line_type_8
2250,assembly_line_type_8
5259,assembly_line_type_8
5259,assembly_line_type_2
12751,assembly_line_type_8
5195,assembly_line_type_8
1233,assembly_line_type_8
4703,assembly_line_type_8
17508,assembly_line_type_8
6008,assembly_line_type_8
2906,assembly_line_type_8
1247,assembly_line_type_8
17909,assembly_line_type_8
8148,assembly_line_type_8
17595,assembly_line_type_8
7515,assembly_line_type_8
17041,assembly_line_type_8
17041,assembly_line_type_1
6692,assembly_line_type_8
14595,assembly_line_type_8
15952,assembly_line_type_8
9664,assembly_line_type_8
3952,assembly_line_type_8
8461,assembly_line_type_8
6743,assembly_line_type_8
16097,assembly_line_type_8
1235,assembly_line_type_8
9317,assembly_line_type_8
9651,assembly_line_type_8
7832,assembly_line_type_8
5280,assembly_line_type_8
282,assembly_line_type_8
4574,assembly_line_type_8
2043,assembly_line_type_8
6693,assembly_line_type_8
16479,assembly_line_type_8
7466,assembly_line_type_8
4814,assembly_line_type_8
10842,assembly_line_type_8
10039,assembly_line_type_8
4337,assembly_line_type_8
4787,assembly_line_type_8
16586,assembly_line_type_8
8796,assembly_line_type_8
6954,assembly_line_type_8
17648,assembly_line_type_8
1849,assembly_line_type_8
16949,assembly_line_type_8
14593,assembly_line_type_8
12587,assembly_line_type_8
2240,assembly_line_type_8
5356,assembly_line_type_8
1285,assembly_line_type_2
17155,assembly_line_type_2
1308,assembly_line_type_2
3251,assembly_line_type_2
9313,assembly_line_type_2
14926,assembly_line_type_2
14926,assembly_line_type_8
17407,assembly_line_type_2
6395,assembly_line_type_2
16600,assembly_line_type_2
137,assembly_line_type_2
17255,assembly_line_type_2
8443,assembly_line_type_2
9291,assembly_line_type_2
1821,assembly_line_type_2
13270,assembly_line_type_2
18500,assembly_line_type_2
8774,assembly_line_type_2
1243,assembly_line_type_2
6474,assembly_line_type_2
15687,assembly_line_type_2
16351,assembly_line_type_2
5163,assembly_line_type_2
12650,assembly_line_type_2
7116,assembly_line_type_2
18189,assembly_line_type_2
2653,assembly_line_type_2
3331,assembly_line_type_2
3375,assembly_line_type_2
16056,assembly_line_type_2
14969,assembly_line_type_2
12825,assembly_line_type_2
6176,assembly_line_type_2
15850,assembly_line_type_2
10825,assembly_line_type_2
16628,assembly_line_type_2
3446,assembly_line_type_2
8716,assembly_line_type_2
14963,assembly_line_type_8
12318,assembly_line_type_8
18076,assembly_line_type_2
18076,assembly_line_type_8
11833,assembly_line_type_2
402,assembly_line_type_2
1288,assembly_line_type_2
16595,assembly_line_type_2
18413,assembly_line_type_2
9859,assembly_line_type_2
2578,assembly_line_type_2
1204,assembly_line_type_2
4497,assembly_line_type_2
37,assembly_line_type_2
3629,assembly_line_type_2
16795,assembly_line_type_8
16106,assembly_line_type_8
8185,assembly_line_type_8
8235,assembly_line_type_2
8235,assembly_line_type_8
14315,assembly_line_type_8
17756,assembly_line_type_8
14562,assembly_line_type_8
8930,assembly_line_type_8
11231,assembly_line_type_8
17812,assembly_line_type_8
3112,assembly_line_type_8
6253,assembly_line_type_8
187,assembly_line_type_8
10816,assembly_line_type_8
2008,assembly_line_type_8
10445,assembly_line_type_8
258,assembly_line_type_8
15834,assembly_line_type_8
12334,assembly_line_type_8
9644,assembly_line_type_8
14743,assembly_line_type_8
6208,assembly_line_type_8
6802,assembly_line_type_8
14860,assembly_line_type_8
14899,assembly_line_type_8
581,assembly_line_type_8
10985,assembly_line_type_8
11010,assembly_line_type_2
722,assembly_line_type_8
1747,assembly_line_type_8
1349,assembly_line_type_8
11444,assembly_line_type_8
16517,assembly_line_type_8
16202,assembly_line_type_8
12511,assembly_line_type_8
15171,assembly_line_type_8
3879,assembly_line_type_8
1863,assembly_line_type_8
5142,assembly_line_type_8
6796,assembly_line_type_8
13838,assembly_line_type_8
10913,assembly_line_type_8
6880,assembly_line_type_8
685,assembly_line_type_8
10680,assembly_line_type_8
13845,assembly_line_type_2
13845,assembly_line_type_8
17736,assembly_line_type_8
10319,assembly_line_type_8
10970,assembly_line_type_8
13652,assembly_line_type_8
10161,assembly_line_type_2
10161,assembly_line_type_8
725,assembly_line_type_8
5074,assembly_line_type_8
5924,assembly_line_type_8
10516,assembly_line_type_2
10516,assembly_line_type_8
6883,assembly_line_type_2
6883,assembly_line_type_8
5545,assembly_line_type_8
14433,assembly_line_type_8
18058,assembly_line_type_8
5834,assembly_line_type_8
4630,assembly_line_type_8
17414,assembly_line_type_8
6244,assembly_line_type_8
3158,assembly_line_type_8
16320,assembly_line_type_8
3465,assembly_line_type_8
13490,assembly_line_type_8
4628,assembly_line_type_8
4029,assembly_line_type_8
15057,assembly_line_type_8
13522,assembly_line_type_8
5254,assembly_line_type_8
14991,assembly_line_type_1
14991,assembly_line_type_8
2810,assembly_line_type_8
5025,assembly_line_type_8
14112,assembly_line_type_8
5352,assembly_line_type_8
7049,assembly_line_type_8
17758,assembly_line_type_8
11766,assembly_line_type_8
1574,assembly_line_type_8
7237,assembly_line_type_8
10902,assembly_line_type_8
9016,assembly_line_type_8
13955,assembly_line_type_8
11005,assembly_line_type_8
16584,assembly_line_type_8
8277,assembly_line_type_8
15081,assembly_line_type_8
18220,assembly_line_type_8
4595,assembly_line_type_8
1666,assembly_line_type_8
7585,assembly_line_type_8
4309,assembly_line_type_8
16809,assembly_line_type_8
2385,assembly_line_type_8
16139,assembly_line_type_8
7077,assembly_line_type_8
11828,assembly_line_type_8
2774,assembly_line_type_8
11037,assembly_line_type_8
11464,assembly_line_type_8
15801,assembly_line_type_8
12847,assembly_line_type_8
4002,assembly_line_type_8
11100,assembly_line_type_8
10511,assembly_line_type_8
14706,assembly_line_type_8
14706,assembly_line_type_2
462,assembly_line_type_8
7885,assembly_line_type_8
12276,assembly_line_type_8
10402,assembly_line_type_8
3412,assembly_line_type_8
6860,assembly_line_type_8
11114,assembly_line_type_8
9907,assembly_line_type_8
4121,assembly_line_type_8
10493,assembly_line_type_8
11770,assembly_line_type_8
965,assembly_line_type_8
18004,assembly_line_type_8
5928,assembly_line_type_8
7405,assembly_line_type_8
6803,assembly_line_type_8
8764,assembly_line_type_8
7925,assembly_line_type_8
12798,assembly_line_type_8
11394,assembly_line_type_8
17869,assembly_line_type_8
10129,assembly_line_type_8
13354,assembly_line_type_8
16917,assembly_line_type_8
17425,assembly_line_type_8
18486,assembly_line_type_8
6909,assembly_line_type_8
12026,assembly_line_type_8
16064,assembly_line_type_8
11119,assembly_line_type_8
8378,assembly_line_type_8
894,assembly_line_type_8
6648,assembly_line_type_8
372,assembly_line_type_8
17066,assembly_line_type_8
821,assembly_line_type_8
608,assembly_line_type_8
4535,assembly_line_type_8
4640,assembly_line_type_8
18296,assembly_line_type_8
6904,assembly_line_type_8
5059,assembly_line_type_8
15102,assembly_line_type_8
11286,assembly_line_type_8
13438,assembly_line_type_8
7851,assembly_line_type_8
16336,assembly_line_type_8
17470,assembly_line_type_8
8388,assembly_line_type_8
4141,assembly_line_type_8
4163,assembly_line_type_8
13077,assembly_line_type_8
15343,assembly_line_type_8
6475,assembly_line_type_8
