id,car_variant
6597,car_variant_11
8011,car_variant_15
2597,car_variant_15
5022,car_variant_15
5022,car_variant_11
6852,car_variant_11
6852,car_variant_15
5611,car_variant_15
14838,car_variant_15
14838,car_variant_11
2588,car_variant_15
2588,car_variant_11
4848,car_variant_11
4848,car_variant_15
6914,car_variant_11
6914,car_variant_15
5337,car_variant_15
5337,car_variant_11
10460,car_variant_15
10460,car_variant_11
15494,car_variant_11
15494,car_variant_15
10289,car_variant_11
10289,car_variant_15
8587,car_variant_11
8587,car_variant_15
12943,car_variant_11
12943,car_variant_15
590,car_variant_15
16416,car_variant_15
3399,car_variant_15
3399,car_variant_11
1505,car_variant_15
1505,car_variant_11
9446,car_variant_11
9446,car_variant_15
12482,car_variant_15
16538,car_variant_15
16538,car_variant_11
2250,car_variant_15
2250,car_variant_11
5259,car_variant_15
5259,car_variant_11
5259,car_variant_20
12751,car_variant_15
5195,car_variant_15
1233,car_variant_15
1233,car_variant_11
4703,car_variant_11
17508,car_variant_15
17508,car_variant_11
6008,car_variant_15
6008,car_variant_11
2906,car_variant_15
1247,car_variant_15
1247,car_variant_11
17909,car_variant_11
8148,car_variant_15
8148,car_variant_11
17595,car_variant_15
17595,car_variant_11
7515,car_variant_15
7515,car_variant_11
17041,car_variant_11
17041,car_variant_7
17041,car_variant_15
6692,car_variant_15
14595,car_variant_15
15952,car_variant_11
15952,car_variant_15
9664,car_variant_15
3952,car_variant_15
3952,car_variant_11
8461,car_variant_15
6743,car_variant_15
16097,car_variant_11
16097,car_variant_15
1235,car_variant_11
1235,car_variant_15
9317,car_variant_15
9651,car_variant_15
9651,car_variant_11
7832,car_variant_15
7832,car_variant_11
5280,car_variant_15
5280,car_variant_11
282,car_variant_15
4574,car_variant_11
4574,car_variant_15
2043,car_variant_15
6693,car_variant_11
6693,car_variant_15
16479,car_variant_15
7466,car_variant_11
7466,car_variant_15
4814,car_variant_15
10842,car_variant_15
10039,car_variant_15
4337,car_variant_15
4787,car_variant_15
16586,car_variant_15
16586,car_variant_11
8796,car_variant_15
8796,car_variant_11
6954,car_variant_15
17648,car_variant_15
1849,car_variant_15
16949,car_variant_15
14593,car_variant_15
12587,car_variant_11
2240,car_variant_11
5356,car_variant_11
1285,car_variant_34
1285,car_variant_35
17155,car_variant_34
17155,car_variant_20
17155,car_variant_35
1308,car_variant_34
1308,car_variant_35
3251,car_variant_34
3251,car_variant_35
9313,car_variant_35
9313,car_variant_34
9313,car_variant_20
14926,car_variant_34
14926,car_variant_11
14926,car_variant_35
17407,car_variant_34
17407,car_variant_35
6395,car_variant_34
6395,car_variant_35
16600,car_variant_34
16600,car_variant_35
137,car_variant_35
137,car_variant_34
17255,car_variant_35
17255,car_variant_34
8443,car_variant_34
8443,car_variant_35
9291,car_variant_35
9291,car_variant_34
1821,car_variant_34
1821,car_variant_35
13270,car_variant_34
13270,car_variant_35
18500,car_variant_34
8774,car_variant_35
1243,car_variant_35
1243,car_variant_34
6474,car_variant_35
