id,issue_type
6597,issue_type_2
8011,issue_type_2
2597,issue_type_2
5022,issue_type_1
6852,issue_type_1
5611,issue_type_2
14838,issue_type_1
2588,issue_type_1
4848,issue_type_1
6914,issue_type_1
5337,issue_type_1
10460,issue_type_1
15494,issue_type_1
10289,issue_type_1
8587,issue_type_1
12943,issue_type_1
590,issue_type_2
16416,issue_type_2
3399,issue_type_1
1505,issue_type_1
9446,issue_type_1
12482,issue_type_2
16538,issue_type_1
2250,issue_type_1
5259,issue_type_1
12751,issue_type_2
5195,issue_type_2
1233,issue_type_1
4703,issue_type_1
17508,issue_type_1
6008,issue_type_1
2906,issue_type_2
1247,issue_type_1
17909,issue_type_1
8148,issue_type_1
17595,issue_type_1
7515,issue_type_1
17041,issue_type_1
6692,issue_type_2
14595,issue_type_2
15952,issue_type_1
9664,issue_type_2
3952,issue_type_1
8461,issue_type_2
6743,issue_type_2
16097,issue_type_1
1235,issue_type_1
9317,issue_type_2
9651,issue_type_1
7832,issue_type_1
5280,issue_type_1
282,issue_type_2
4574,issue_type_1
2043,issue_type_2
6693,issue_type_1
16479,issue_type_2
7466,issue_type_1
4814,issue_type_2
10842,issue_type_2
10039,issue_type_2
4337,issue_type_2
4787,issue_type_2
16586,issue_type_1
8796,issue_type_1
6954,issue_type_2
17648,issue_type_2
1849,issue_type_2
16949,issue_type_2
14593,issue_type_2
12587,issue_type_2
2240,issue_type_1
5356,issue_type_1
1285,issue_type_2
17155,issue_type_1
1308,issue_type_2
3251,issue_type_2
9313,issue_type_1
14926,issue_type_2
17407,issue_type_2
6395,issue_type_2
16600,issue_type_2
137,issue_type_2
17255,issue_type_2
8443,issue_type_2
9291,issue_type_2
1821,issue_type_2
13270,issue_type_2
18500,issue_type_2
8774,issue_type_4
1243,issue_type_2
6474,issue_type_2
15687,issue_type_2
16351,issue_type_2
5163,issue_type_2
12650,issue_type_4
7116,issue_type_2
18189,issue_type_2
2653,issue_type_4
3331,issue_type_2
3375,issue_type_2
16056,issue_type_2
14969,issue_type_2
12825,issue_type_2
6176,issue_type_2
15850,issue_type_2
10825,issue_type_2
16628,issue_type_2
3446,issue_type_2
8716,issue_type_1
14963,issue_type_1
12318,issue_type_2
18076,issue_type_1
11833,issue_type_1
402,issue_type_1
1288,issue_type_1
16595,issue_type_1
18413,issue_type_1
9859,issue_type_1
2578,issue_type_1
1204,issue_type_1
4497,issue_type_1
37,issue_type_1
3629,issue_type_1
16795,issue_type_2
16106,issue_type_1
8185,issue_type_1
8235,issue_type_1
14315,issue_type_1
17756,issue_type_1
14562,issue_type_1
8930,issue_type_1
11231,issue_type_1
17812,issue_type_2
3112,issue_type_2
6253,issue_type_2
187,issue_type_1
10816,issue_type_1
2008,issue_type_1
10445,issue_type_1
258,issue_type_1
15834,issue_type_2
12334,issue_type_1
9644,issue_type_1
14743,issue_type_1
6208,issue_type_1
6802,issue_type_2
14860,issue_type_1
14899,issue_type_1
581,issue_type_2
10985,issue_type_2
11010,issue_type_1
722,issue_type_1
1747,issue_type_1
1349,issue_type_2
11444,issue_type_1
16517,issue_type_1
16202,issue_type_1
12511,issue_type_1
15171,issue_type_1
3879,issue_type_1
1863,issue_type_1
5142,issue_type_1
6796,issue_type_1
13838,issue_type_1
10913,issue_type_1
6880,issue_type_1
685,issue_type_1
10680,issue_type_1
13845,issue_type_1
17736,issue_type_2
10319,issue_type_2
10970,issue_type_1
13652,issue_type_2
10161,issue_type_1
725,issue_type_1
5074,issue_type_2
5924,issue_type_1
10516,issue_type_1
6883,issue_type_1
5545,issue_type_1
14433,issue_type_1
18058,issue_type_2
5834,issue_type_1
4630,issue_type_2
17414,issue_type_2
6244,issue_type_1
3158,issue_type_2
16320,issue_type_2
3465,issue_type_2
13490,issue_type_2
4628,issue_type_2
4029,issue_type_2
15057,issue_type_2
13522,issue_type_2
5254,issue_type_1
14991,issue_type_1
2810,issue_type_2
5025,issue_type_2
14112,issue_type_2
5352,issue_type_1
7049,issue_type_1
17758,issue_type_2
11766,issue_type_1
1574,issue_type_1
7237,issue_type_1
10902,issue_type_1
9016,issue_type_2
13955,issue_type_1
11005,issue_type_1
16584,issue_type_1
8277,issue_type_2
15081,issue_type_1
18220,issue_type_1
4595,issue_type_2
1666,issue_type_2
7585,issue_type_2
4309,issue_type_2
16809,issue_type_2
2385,issue_type_1
16139,issue_type_1
7077,issue_type_2
11828,issue_type_1
2774,issue_type_2
11037,issue_type_2
11464,issue_type_1
15801,issue_type_1
12847,issue_type_2
4002,issue_type_1
11100,issue_type_2
10511,issue_type_2
14706,issue_type_1
462,issue_type_1
7885,issue_type_2
12276,issue_type_2
10402,issue_type_1
3412,issue_type_2
6860,issue_type_2
11114,issue_type_2
9907,issue_type_2
4121,issue_type_2
10493,issue_type_1
11770,issue_type_1
965,issue_type_1
18004,issue_type_2
5928,issue_type_1
7405,issue_type_1
6803,issue_type_2
8764,issue_type_2
7925,issue_type_1
12798,issue_type_2
11394,issue_type_2
17869,issue_type_2
10129,issue_type_2
13354,issue_type_2
16917,issue_type_2
17425,issue_type_1
18486,issue_type_1
6909,issue_type_2
12026,issue_type_2
16064,issue_type_2
11119,issue_type_2
8378,issue_type_1
894,issue_type_2
6648,issue_type_2
372,issue_type_1
17066,issue_type_2
821,issue_type_2
608,issue_type_2
4535,issue_type_2
4640,issue_type_2
18296,issue_type_2
6904,issue_type_2
5059,issue_type_2
15102,issue_type_2
11286,issue_type_2
13438,issue_type_1
7851,issue_type_2
16336,issue_type_2
17470,issue_type_2
8388,issue_type_2
4141,issue_type_2
4163,issue_type_2
13077,issue_type_2
15343,issue_type_2
6475,issue_type_1
12214,issue_type_2
6623,issue_type_2
1551,issue_type_2
13260,issue_type_2
12932,issue_type_2
4556,issue_type_2
8556,issue_type_2
14449,issue_type_2
18376,issue_type_2
17745,issue_type_2
17963,issue_type_2
10014,issue_type_2
9879,issue_type_2
1718,issue_type_2
13376,issue_type_1
17645,issue_type_2
2214,issue_type_2
12194,issue_type_2
12607,issue_type_2
378,issue_type_2
14616,issue_type_2
1326,issue_type_2
15085,issue_type_2
6339,issue_type_2
4151,issue_type_2
17950,issue_type_2
15427,issue_type_2
200,issue_type_2
18050,issue_type_2
3547,issue_type_2
15192,issue_type_2
13832,issue_type_2
2467,issue_type_2
6369,issue_type_2
12887,issue_type_1
8366,issue_type_2
2425,issue_type_1
8106,issue_type_1
12935,issue_type_2
4623,issue_type_2
222,issue_type_2
9059,issue_type_2
15381,issue_type_2
13154,issue_type_1
665,issue_type_2
10110,issue_type_2
1716,issue_type_2
3951,issue_type_2
17731,issue_type_2
16403,issue_type_2
8501,issue_type_2
15362,issue_type_2
9870,issue_type_2
8831,issue_type_2
5961,issue_type_2
9364,issue_type_2
18490,issue_type_2
9088,issue_type_1
2865,issue_type_1
16514,issue_type_5
18077,issue_type_1
14,issue_type_5
13453,issue_type_1
12828,issue_type_1
6359,issue_type_2
5881,issue_type_2
13337,issue_type_2
14986,issue_type_2
12978,issue_type_1
1553,issue_type_1
487,issue_type_1
5559,issue_type_1
8037,issue_type_1
5027,issue_type_1
15133,issue_type_1
5068,issue_type_1
11826,issue_type_1
7409,issue_type_1
13614,issue_type_1
11313,issue_type_1
8573,issue_type_1
15618,issue_type_1
8730,issue_type_1
2841,issue_type_1
8263,issue_type_2
8193,issue_type_1
5821,issue_type_1
14864,issue_type_1
7818,issue_type_1
6636,issue_type_1
3113,issue_type_2
15555,issue_type_2
15974,issue_type_1
13273,issue_type_2
10465,issue_type_1
1491,issue_type_1
7546,issue_type_1
8854,issue_type_1
14462,issue_type_1
2734,issue_type_1
6446,issue_type_1
11239,issue_type_1
6193,issue_type_2
3765,issue_type_2
12944,issue_type_2
4302,issue_type_2
16468,issue_type_2
12624,issue_type_2
17530,issue_type_1
7503,issue_type_1
6457,issue_type_1
16725,issue_type_1
5029,issue_type_1
16681,issue_type_1
11843,issue_type_1
6231,issue_type_1
15803,issue_type_1
13480,issue_type_1
11928,issue_type_1
8963,issue_type_1
10844,issue_type_1
13067,issue_type_1
9769,issue_type_1
15970,issue_type_1
6715,issue_type_1
5206,issue_type_5
16675,issue_type_1
5468,issue_type_1
2854,issue_type_5
8225,issue_type_1
15497,issue_type_2
10940,issue_type_1
8120,issue_type_2
15689,issue_type_1
5597,issue_type_1
4315,issue_type_2
11976,issue_type_1
268,issue_type_1
11609,issue_type_2
15967,issue_type_1
2184,issue_type_1
17071,issue_type_4
13185,issue_type_1
17329,issue_type_1
9509,issue_type_1
587,issue_type_1
14586,issue_type_1
3967,issue_type_1
4941,issue_type_2
16781,issue_type_1
15684,issue_type_1
525,issue_type_1
17856,issue_type_1
6932,issue_type_1
9787,issue_type_1
4740,issue_type_1
4053,issue_type_1
6376,issue_type_1
13330,issue_type_1
8036,issue_type_1
3895,issue_type_1
333,issue_type_1
16024,issue_type_1
10696,issue_type_1
17505,issue_type_1
4045,issue_type_1
18399,issue_type_1
11874,issue_type_1
17062,issue_type_1
8042,issue_type_1
11725,issue_type_1
750,issue_type_1
7315,issue_type_1
16339,issue_type_1
2212,issue_type_1
7545,issue_type_1
14767,issue_type_1
5282,issue_type_1
12389,issue_type_1
1380,issue_type_1
10409,issue_type_1
10658,issue_type_1
6144,issue_type_2
10370,issue_type_1
17852,issue_type_1
5032,issue_type_1
5370,issue_type_1
12273,issue_type_1
1998,issue_type_1
17379,issue_type_1
252,issue_type_1
14875,issue_type_1
6834,issue_type_1
9158,issue_type_1
8694,issue_type_1
7348,issue_type_1
12661,issue_type_1
7171,issue_type_1
4733,issue_type_1
1931,issue_type_1
14047,issue_type_2
611,issue_type_1
9354,issue_type_2
15287,issue_type_2
13403,issue_type_1
982,issue_type_4
8581,issue_type_4
7504,issue_type_1
17653,issue_type_1
2741,issue_type_1
10977,issue_type_1
8359,issue_type_1
7385,issue_type_1
8467,issue_type_1
11740,issue_type_1
9778,issue_type_1
15626,issue_type_1
3949,issue_type_1
3663,issue_type_4
17209,issue_type_1
400,issue_type_1
4861,issue_type_1
805,issue_type_1
11989,issue_type_1
748,issue_type_1
10508,issue_type_1
5977,issue_type_1
2090,issue_type_2
5257,issue_type_1
8159,issue_type_1
1135,issue_type_1
6679,issue_type_1
6313,issue_type_1
1231,issue_type_1
1706,issue_type_4
16741,issue_type_2
4629,issue_type_1
3491,issue_type_1
9852,issue_type_2
10293,issue_type_1
9596,issue_type_1
