id,log_report_type,volume
6597,log_report_type_68,6
8011,log_report_type_68,7
2597,log_report_type_68,1
5022,log_report_type_172,2
5022,log_report_type_56,1
5022,log_report_type_193,4
5022,log_report_type_71,3
6852,log_report_type_201,2
6852,log_report_type_56,1
6852,log_report_type_80,2
5611,log_report_type_80,2
14838,log_report_type_203,5
14838,log_report_type_82,8
14838,log_report_type_80,9
2588,log_report_type_82,9
2588,log_report_type_201,5
2588,log_report_type_80,15
2588,log_report_type_203,5
4848,log_report_type_56,3
4848,log_report_type_80,16
4848,log_report_type_172,2
4848,log_report_type_201,12
4848,log_report_type_82,2
6914,log_report_type_68,11
5337,log_report_type_201,2
5337,log_report_type_193,11
5337,log_report_type_80,2
5337,log_report_type_71,10
10460,log_report_type_201,4
10460,log_report_type_80,5
15494,log_report_type_56,1
15494,log_report_type_172,2
10289,log_report_type_80,3
10289,log_report_type_201,1
8587,log_report_type_201,3
8587,log_report_type_80,3
12943,log_report_type_111,2
12943,log_report_type_201,75
12943,log_report_type_80,50
590,log_report_type_80,3
590,log_report_type_201,2
16416,log_report_type_68,4
3399,log_report_type_80,2
3399,log_report_type_201,2
1505,log_report_type_201,3
1505,log_report_type_80,11
9446,log_report_type_68,4
9446,log_report_type_193,7
9446,log_report_type_71,4
12482,log_report_type_201,1
12482,log_report_type_80,3
16538,log_report_type_201,12
16538,log_report_type_80,9
16538,log_report_type_82,5
16538,log_report_type_203,7
2250,log_report_type_193,3
2250,log_report_type_71,2
5259,log_report_type_80,1
5259,log_report_type_219,1
5259,log_report_type_134,1
5259,log_report_type_201,2
12751,log_report_type_71,1
12751,log_report_type_82,7
12751,log_report_type_201,5
12751,log_report_type_193,1
12751,log_report_type_203,7
12751,log_report_type_80,5
5195,log_report_type_80,1
5195,log_report_type_82,1
5195,log_report_type_203,1
5195,log_report_type_201,1
1233,log_report_type_80,17
1233,log_report_type_203,18
1233,log_report_type_201,20
1233,log_report_type_82,18
4703,log_report_type_159,1
4703,log_report_type_201,5
4703,log_report_type_193,6
4703,log_report_type_198,6
17508,log_report_type_203,3
17508,log_report_type_82,4
17508,log_report_type_201,3
17508,log_report_type_80,4
6008,log_report_type_56,1
6008,log_report_type_201,2
6008,log_report_type_82,4
6008,log_report_type_80,3
2906,log_report_type_80,1
2906,log_report_type_56,2
2906,log_report_type_82,1
1247,log_report_type_82,2
1247,log_report_type_80,3
1247,log_report_type_201,1
1247,log_report_type_56,1
17909,log_report_type_80,1
8148,log_report_type_111,5
8148,log_report_type_201,1
8148,log_report_type_82,3
8148,log_report_type_80,16
8148,log_report_type_203,1
17595,log_report_type_203,14
17595,log_report_type_201,8
17595,log_report_type_111,1
17595,log_report_type_80,5
17595,log_report_type_82,16
7515,log_report_type_82,2
7515,log_report_type_80,4
7515,log_report_type_201,1
17041,log_report_type_111,2
17041,log_report_type_201,3
17041,log_report_type_80,7
6692,log_report_type_203,1
6692,log_report_type_82,2
6692,log_report_type_80,2
14595,log_report_type_201,1
14595,log_report_type_80,4
14595,log_report_type_82,4
14595,log_report_type_203,2
15952,log_report_type_201,2
15952,log_report_type_82,2
15952,log_report_type_80,2
15952,log_report_type_203,2
9664,log_report_type_198,1
9664,log_report_type_76,1
3952,log_report_type_203,6
3952,log_report_type_201,7
3952,log_report_type_82,4
3952,log_report_type_80,6
8461,log_report_type_80,5
8461,log_report_type_82,3
6743,log_report_type_82,2
6743,log_report_type_80,1
16097,log_report_type_172,1
16097,log_report_type_56,1
1235,log_report_type_82,12
1235,log_report_type_80,2
1235,log_report_type_203,5
1235,log_report_type_201,1
9317,log_report_type_172,1
9317,log_report_type_56,1
9317,log_report_type_80,1
9651,log_report_type_82,3
9651,log_report_type_80,10
7832,log_report_type_80,1
7832,log_report_type_172,1
7832,log_report_type_56,1
7832,log_report_type_82,1
5280,log_report_type_172,2
5280,log_report_type_82,6
5280,log_report_type_203,1
5280,log_report_type_80,4
282,log_report_type_80,3
282,log_report_type_82,2
4574,log_report_type_82,1
4574,log_report_type_80,5
2043,log_report_type_203,1
2043,log_report_type_80,3
2043,log_report_type_82,3
6693,log_report_type_80,2
6693,log_report_type_82,2
16479,log_report_type_80,1
16479,log_report_type_82,1
7466,log_report_type_203,1
7466,log_report_type_82,1
7466,log_report_type_201,2
7466,log_report_type_80,7
4814,log_report_type_82,1
10842,log_report_type_82,3
10842,log_report_type_56,1
10039,log_report_type_80,1
4337,log_report_type_203,1
4337,log_report_type_82,5
4787,log_report_type_80,3
16586,log_report_type_80,1
16586,log_report_type_82,1
8796,log_report_type_203,4
8796,log_report_type_80,3
8796,log_report_type_82,3
8796,log_report_type_201,4
6954,log_report_type_80,2
6954,log_report_type_203,1
6954,log_report_type_201,1
6954,log_report_type_82,2
17648,log_report_type_82,4
1849,log_report_type_82,2
16949,log_report_type_80,1
16949,log_report_type_201,1
14593,log_report_type_82,2
14593,log_report_type_80,2
12587,log_report_type_68,1
2240,log_report_type_167,10
2240,log_report_type_51,10
5356,log_report_type_51,46
5356,log_report_type_167,48
1285,log_report_type_228,3
1285,log_report_type_230,3
1285,log_report_type_308,3
1285,log_report_type_310,4
17155,log_report_type_134,1
17155,log_report_type_228,3
17155,log_report_type_230,3
17155,log_report_type_310,3
17155,log_report_type_301,1
17155,log_report_type_221,1
17155,log_report_type_308,3
17155,log_report_type_219,1
1308,log_report_type_230,1
1308,log_report_type_228,1
1308,log_report_type_310,1
1308,log_report_type_308,1
3251,log_report_type_307,1
3251,log_report_type_312,1
3251,log_report_type_232,1
3251,log_report_type_227,1
9313,log_report_type_301,1
9313,log_report_type_219,1
9313,log_report_type_221,1
9313,log_report_type_134,1
14926,log_report_type_160,1
14926,log_report_type_309,1
14926,log_report_type_229,1
14926,log_report_type_181,1
17407,log_report_type_308,1
17407,log_report_type_312,2
17407,log_report_type_307,1
17407,log_report_type_230,1
17407,log_report_type_228,1
17407,log_report_type_232,1
17407,log_report_type_310,1
6395,log_report_type_312,2
6395,log_report_type_232,2
6395,log_report_type_307,2
6395,log_report_type_227,3
16600,log_report_type_232,1
16600,log_report_type_307,1
16600,log_report_type_312,1
137,log_report_type_232,2
137,log_report_type_227,1
137,log_report_type_312,1
17255,log_report_type_312,2
17255,log_report_type_232,2
17255,log_report_type_307,1
8443,log_report_type_312,1
8443,log_report_type_227,1
8443,log_report_type_307,1
8443,log_report_type_308,1
8443,log_report_type_232,1
8443,log_report_type_309,1
8443,log_report_type_229,1
8443,log_report_type_228,1
9291,log_report_type_312,3
9291,log_report_type_307,1
9291,log_report_type_227,1
9291,log_report_type_232,3
1821,log_report_type_312,3
1821,log_report_type_307,1
1821,log_report_type_232,2
13270,log_report_type_314,2
13270,log_report_type_307,1
13270,log_report_type_313,1
13270,log_report_type_234,1
13270,log_report_type_312,1
13270,log_report_type_309,1
18500,log_report_type_227,1
18500,log_report_type_232,1
8774,log_report_type_312,1
8774,log_report_type_307,1
1243,log_report_type_307,1
1243,log_report_type_312,2
1243,log_report_type_232,1
6474,log_report_type_232,1
6474,log_report_type_312,1
15687,log_report_type_234,1
15687,log_report_type_314,1
16351,log_report_type_312,2
16351,log_report_type_227,2
16351,log_report_type_232,1
16351,log_report_type_307,1
5163,log_report_type_232,1
5163,log_report_type_307,1
5163,log_report_type_312,2
5163,log_report_type_227,1
12650,log_report_type_312,1
7116,log_report_type_312,1
7116,log_report_type_232,1
7116,log_report_type_227,1
18189,log_report_type_312,1
18189,log_report_type_233,1
18189,log_report_type_307,1
18189,log_report_type_234,1
18189,log_report_type_313,1
18189,log_report_type_314,1
2653,log_report_type_307,2
2653,log_report_type_312,2
3331,log_report_type_232,1
3331,log_report_type_312,3
3331,log_report_type_307,2
3331,log_report_type_227,1
3375,log_report_type_307,2
3375,log_report_type_232,5
3375,log_report_type_312,5
3375,log_report_type_227,3
16056,log_report_type_309,1
16056,log_report_type_312,2
16056,log_report_type_307,1
16056,log_report_type_229,1
14969,log_report_type_232,2
14969,log_report_type_307,14
14969,log_report_type_312,1
14969,log_report_type_227,15
12825,log_report_type_232,7
12825,log_report_type_227,5
12825,log_report_type_312,8
12825,log_report_type_307,7
6176,log_report_type_232,9
6176,log_report_type_312,8
15850,log_report_type_232,13
15850,log_report_type_227,3
15850,log_report_type_307,2
15850,log_report_type_312,13
10825,log_report_type_227,11
10825,log_report_type_307,4
16628,log_report_type_232,29
16628,log_report_type_227,2
16628,log_report_type_312,27
16628,log_report_type_307,19
3446,log_report_type_232,2
3446,log_report_type_227,11
3446,log_report_type_307,14
8716,log_report_type_219,1
14963,log_report_type_68,1
12318,log_report_type_84,1
12318,log_report_type_167,1
12318,log_report_type_51,1
18076,log_report_type_134,1
18076,log_report_type_167,1
18076,log_report_type_84,1
18076,log_report_type_51,1
18076,log_report_type_205,1
18076,log_report_type_219,1
11833,log_report_type_134,1
11833,log_report_type_219,1
402,log_report_type_219,1
402,log_report_type_134,2
1288,log_report_type_219,1
1288,log_report_type_134,1
16595,log_report_type_134,2
16595,log_report_type_219,2
18413,log_report_type_219,1
18413,log_report_type_134,1
9859,log_report_type_134,2
9859,log_report_type_219,1
2578,log_report_type_134,1
2578,log_report_type_219,1
1204,log_report_type_134,2
1204,log_report_type_219,2
4497,log_report_type_134,1
4497,log_report_type_219,1
37,log_report_type_134,1
3629,log_report_type_219,1
3629,log_report_type_134,1
16795,log_report_type_68,1
16106,log_report_type_54,1
16106,log_report_type_170,2
16106,log_report_type_68,1
8185,log_report_type_170,1
8185,log_report_type_54,1
8235,log_report_type_219,1
8235,log_report_type_206,1
8235,log_report_type_15,6
8235,log_report_type_134,2
8235,log_report_type_182,1
8235,log_report_type_170,7
8235,log_report_type_149,6
14315,log_report_type_170,1
17756,log_report_type_54,2
17756,log_report_type_170,2
14562,log_report_type_54,3
14562,log_report_type_170,1
8930,log_report_type_182,1
8930,log_report_type_62,1
11231,log_report_type_182,1
17812,log_report_type_54,4
3112,log_report_type_54,5
3112,log_report_type_170,1
6253,log_report_type_201,6
6253,log_report_type_80,6
187,log_report_type_80,3
10816,log_report_type_201,2
10816,log_report_type_80,5
2008,log_report_type_201,5
2008,log_report_type_80,7
10445,log_report_type_201,2
258,log_report_type_80,2
258,log_report_type_201,5
15834,log_report_type_201,1
15834,log_report_type_80,2
12334,log_report_type_201,11
12334,log_report_type_80,11
9644,log_report_type_201,3
9644,log_report_type_80,3
14743,log_report_type_80,4
14743,log_report_type_201,5
6208,log_report_type_201,10
6208,log_report_type_80,6
6802,log_report_type_80,2
14860,log_report_type_80,2
14860,log_report_type_201,1
14899,log_report_type_201,1
14899,log_report_type_80,3
581,log_report_type_80,1
10985,log_report_type_201,1
10985,log_report_type_80,1
11010,log_report_type_134,1
11010,log_report_type_219,1
722,log_report_type_201,2
722,log_report_type_80,3
1747,log_report_type_201,3
