id,factory_number,downtime_duration
13366,factory_number_415,1
6783,factory_number_474,0
9519,factory_number_931,1
10202,factory_number_700,1
4555,factory_number_600,2
5281,factory_number_645,0
1872,factory_number_576,0
8729,factory_number_734,1
9312,factory_number_326,0
14880,factory_number_923,0
4558,factory_number_122,0
16109,factory_number_358,0
13381,factory_number_471,0
1116,factory_number_470,0
4246,factory_number_282,0
6047,factory_number_445,1
1373,factory_number_962,2
4228,factory_number_793,0
7301,factory_number_846,1
1436,factory_number_468,0
4849,factory_number_476,0
397,factory_number_737,1
1854,factory_number_467,0
11936,factory_number_445,0
4209,factory_number_1086,2
5032,factory_number_1015,1
988,factory_number_945,0
7415,factory_number_619,0
18290,factory_number_373,0
15982,factory_number_485,0
17822,factory_number_625,1
12257,factory_number_172,1
8984,factory_number_976,2
6084,factory_number_320,1
14361,factory_number_704,2
12378,factory_number_794,0
14181,factory_number_645,0
12573,factory_number_805,0
15461,factory_number_769,0
12153,factory_number_976,1
17450,factory_number_880,0
7278,factory_number_519,0
9107,factory_number_393,0
13965,factory_number_794,0
4340,factory_number_460,0
177,factory_number_124,0
8079,factory_number_1042,1
6249,factory_number_466,0
13427,factory_number_440,0
1381,factory_number_695,1
6162,factory_number_821,2
5720,factory_number_906,0
1777,factory_number_506,0
4105,factory_number_808,0
12760,factory_number_249,0
745,factory_number_272,1
12608,factory_number_429,1
10238,factory_number_467,0
487,factory_number_1010,0
11179,factory_number_1107,0
3462,factory_number_653,1
18360,factory_number_846,0
9593,factory_number_497,0
17821,factory_number_648,1
1805,factory_number_118,0
5923,factory_number_831,1
17515,factory_number_1024,2
17547,factory_number_870,0
3607,factory_number_883,1
2648,factory_number_834,1
14890,factory_number_760,0
5657,factory_number_734,2
9125,factory_number_793,0
17664,factory_number_944,1
12308,factory_number_1018,0
5738,factory_number_471,0
17783,factory_number_527,0
5000,factory_number_7,0
12926,factory_number_648,2
6595,factory_number_803,1
16207,factory_number_249,1
17795,factory_number_187,1
11219,factory_number_380,0
4271,factory_number_821,1
7201,factory_number_1090,2
541,factory_number_488,0
17245,factory_number_803,1
5229,factory_number_496,0
13615,factory_number_1084,1
5504,factory_number_995,2
15694,factory_number_506,0
13894,factory_number_627,1
2199,factory_number_161,0
15418,factory_number_895,1
7210,factory_number_699,0
199,factory_number_126,0
18395,factory_number_846,0
14106,factory_number_852,0
8950,factory_number_1033,1
2707,factory_number_793,0
9500,factory_number_465,0
7464,factory_number_268,1
3409,factory_number_1056,1
12711,factory_number_451,0
5650,factory_number_808,0
9711,factory_number_570,1
10816,factory_number_1007,0
4388,factory_number_797,1
7711,factory_number_974,0
17313,factory_number_344,0
10280,factory_number_388,1
7845,factory_number_923,0
16082,factory_number_73,0
17208,factory_number_837,1
4446,factory_number_455,0
16614,factory_number_778,0
9974,factory_number_773,0
16360,factory_number_476,0
8926,factory_number_600,0
6991,factory_number_794,0
16507,factory_number_81,1
5888,factory_number_450,0
1855,factory_number_662,1
7283,factory_number_222,0
12233,factory_number_1024,0
13062,factory_number_704,1
16832,factory_number_821,2
15267,factory_number_461,0
11318,factory_number_457,0
7400,factory_number_886,0
5386,factory_number_459,0
11231,factory_number_1006,0
14355,factory_number_836,0
16734,factory_number_298,0
10559,factory_number_13,1
4692,factory_number_375,0
13728,factory_number_821,0
12675,factory_number_1107,1
8647,factory_number_696,0
2026,factory_number_1054,1
5261,factory_number_485,0
6732,factory_number_1089,0
5401,factory_number_1107,2
4689,factory_number_980,0
13984,factory_number_684,1
2718,factory_number_476,0
2815,factory_number_459,0
11493,factory_number_135,1
17837,factory_number_466,0
1548,factory_number_1107,2
5703,factory_number_846,2
13992,factory_number_298,1
5237,factory_number_973,0
10693,factory_number_240,0
17348,factory_number_692,1
12235,factory_number_962,1
12269,factory_number_627,1
7232,factory_number_499,0
8902,factory_number_375,0
4880,factory_number_471,0
9867,factory_number_851,0
9551,factory_number_825,1
274,factory_number_244,0
15236,factory_number_477,0
4970,factory_number_794,0
3902,factory_number_9,0
18370,factory_number_967,0
12908,factory_number_444,0
8481,factory_number_1103,1
6261,factory_number_477,0
15419,factory_number_278,0
17042,factory_number_478,0
17585,factory_number_734,2
3968,factory_number_665,0
5064,factory_number_1090,0
379,factory_number_742,0
10937,factory_number_599,1
3164,factory_number_1031,0
3225,factory_number_1033,1
9017,factory_number_459,0
18379,factory_number_691,0
4587,factory_number_879,0
7027,factory_number_963,0
17772,factory_number_257,1
9664,factory_number_1,1
6330,factory_number_460,1
6797,factory_number_313,0
14289,factory_number_763,1
16414,factory_number_179,1
12418,factory_number_864,1
345,factory_number_895,1
2134,factory_number_915,1
5500,factory_number_477,0
134,factory_number_892,2
18110,factory_number_644,2
14354,factory_number_446,1
9976,factory_number_826,1
8577,factory_number_1042,0
17733,factory_number_239,1
9717,factory_number_810,2
17291,factory_number_481,0
3161,factory_number_809,0
15503,factory_number_1060,0
15239,factory_number_7,0
9682,factory_number_815,1
3097,factory_number_821,2
5806,factory_number_1063,0
9473,factory_number_494,0
4512,factory_number_878,0
11190,factory_number_459,0
18507,factory_number_429,0
8523,factory_number_742,0
11232,factory_number_421,0
16037,factory_number_704,1
10653,factory_number_802,1
3320,factory_number_313,0
6839,factory_number_763,1
5249,factory_number_704,2
10833,factory_number_184,1
13823,factory_number_1022,0
10944,factory_number_704,2
14133,factory_number_173,0
570,factory_number_1089,0
6988,factory_number_408,1
14401,factory_number_468,0
9301,factory_number_600,2
15273,factory_number_704,0
6224,factory_number_1061,0
14608,factory_number_451,0
16729,factory_number_851,1
2987,factory_number_126,0
14278,factory_number_644,0
12599,factory_number_638,0
7484,factory_number_202,0
10479,factory_number_1116,0
843,factory_number_895,2
6893,factory_number_206,0
17334,factory_number_124,0
12228,factory_number_808,0
11376,factory_number_477,0
5767,factory_number_494,0
7747,factory_number_393,1
17636,factory_number_834,2
8680,factory_number_1042,0
14044,factory_number_962,1
5346,factory_number_229,0
6128,factory_number_891,0
16779,factory_number_744,1
465,factory_number_684,2
13472,factory_number_661,0
11739,factory_number_95,0
14402,factory_number_830,0
292,factory_number_242,0
14219,factory_number_489,0
502,factory_number_290,0
6410,factory_number_919,0
7989,factory_number_584,0
11585,factory_number_44,0
11761,factory_number_476,0
10723,factory_number_286,1
4929,factory_number_691,1
1996,factory_number_808,0
10510,factory_number_518,0
16939,factory_number_560,1
2631,factory_number_470,0
13836,factory_number_107,1
14467,factory_number_1031,0
14583,factory_number_1086,1
3989,factory_number_380,0
11707,factory_number_641,1
11407,factory_number_471,0
15082,factory_number_488,0
13362,factory_number_878,0
12479,factory_number_1107,1
16121,factory_number_805,0
11421,factory_number_885,1
13186,factory_number_7,0
3753,factory_number_471,0
8087,factory_number_684,2
636,factory_number_102,1
8672,factory_number_494,0
6206,factory_number_118,0
10099,factory_number_760,1
10044,factory_number_829,0
3742,factory_number_960,1
4180,factory_number_324,0
17015,factory_number_292,0
3512,factory_number_145,0
8132,factory_number_1035,1
3501,factory_number_821,1
2302,factory_number_644,0
14529,factory_number_242,0
11748,factory_number_496,0
15194,factory_number_283,0
18525,factory_number_810,2
17203,factory_number_282,0
6391,factory_number_128,0
18182,factory_number_506,0
5587,factory_number_1119,0
4501,factory_number_888,0
5887,factory_number_672,0
15988,factory_number_1107,0
12109,factory_number_662,0
8938,factory_number_814,0
8929,factory_number_834,0
831,factory_number_126,0
17970,factory_number_195,0
1379,factory_number_1095,0
5608,factory_number_470,0
13025,factory_number_250,0
